date,station,pms_ls,pms_rtt,pms_topp,ago_ls,ago_rtt,ago_topp,pmscl_stock,pms_prod,agocl_stock,ago_prod,pms_var,ago_var
Tues.16.APR,odor,372.53,,,267.28,,,1890,,3350,,-7.47,-2.72
Tues.16.APR,shuk1,279.93,,,96.1,,,6590,,5120,,9.93,6.1
Tues.16.APR,shuk2,283.02,,,77.02,,,6310,,4870,,23.02,-12.98
Tues.16.APR,agbo,381,20,,496.86,20,,4060,,3310,,-19,6.86
Tues.16.APR,nmai,,,,,,,,,,,0,0
Tues.16.APR,oyib,2053.17,,,1934.48,,,4400,,31680,,-6.83,-35.52
Tues.16.APR,danf,615.57,,,143.79,,,7540,,4730,,-14.43,-6.21
Tues.16.APR,TAIF,1018.17,,,300.741,,,11270,,10450,,28.17,20.741
Tues.16.APR,kata,670.9,,,682.87,,72,9750,,15800,9000,-29.1,190.87
Tues.16.APR,botw,1571.67,,,2362.57,,,12300,,31400,,11.67,82.57
Tues.16.APR,asha,633.86,,,330.7,,,11390,,17270,,23.86,40.7
Tues.16.APR,ayik,440.98,,,141.61,,,3590,,4730,,-29.02,1.61
Tues.16.APR,odum,320.89,,,168.52,,,4980,,5430,,0.89,-1.48
Tues.16.APR,ashal1,,,,,,,,,,,0,0
Tues.16.APR,ashal2,1167.12,,,551.93,,,1530,,5350,,37.12,-38.07
Tues.16.APR,nurse,335.1,,,138.9,,,3670,,3200,,5.1,18.9
Tues.16.APR,mayer,,,,,,,,,,,0,0
Tues.16.APR,borts,584.19,,,99.63,,,6360,,7230,,-25.81,-40.37
Tues.16.APR,ablek,286.59,,,69.96,,,4790,,5830,,-13.41,9.96
Tues.16.APR,danch,228.61,,,226.94,,,4440,,2250,,-1.39,16.94
Tues.16.APR,aman,1061.18,,,47.71,,,7580,,7410,,31.18,7.71
Tues.16.APR,bego,515.45,,,378.4,,,6760,,5230,,15.45,8.4
Tues.16.APR,teach,307.92,,,1774.34,,,4690,,8500,,37.92,84.34
Tues.16.APR,asiak,488.86,30.06,,3253.95,40.09,,4240,,9440,,-1.2,3.86
Tues.16.APR,adeis,,,,,,,,,,,0,0
Tues.16.APR,kofo,179.63,20.2,,366.06,20.2,,6050,,5820,,-0.57,-4.14
Tues.16.APR,ason,201.92,,,298.72,,,10600,,5100,,1.92,-1.28
Tues.16.APR,akiman,399.22,,108,91.86,,,10110,4500,2850,,-8.78,21.86
Tues.16.APR,asonk,338.39,,,389.02,,,3740,,2800,,-1.61,-0.98
Tues.16.APR,ynkrum,,,,,,,,,,,0,0
Tues.16.APR,essien,544.77,,,389.27,,,10160,,5790,,4.77,-0.73
Tues.16.APR,tred,571.6,,,260.09,,,9680,,11120,,1.6,-29.91
Tues.16.APR,paky,541.27,,,671.013,,,11590,,13260,,1.27,1.013
Tues.16.APR,obua,793.15,115.62,,679.92,,,18010,,7970,,7.53,19.92
Tues.16.APR,akapo,943.5,,,686.2,,,6770,,12610,,3.5,-3.8
Tues.16.APR,konko,434.07,,,990.8,,,8510,,12980,,-5.93,10.8
Tues.16.APR,kodi,773.09,,,654.43,,,22440,,7720,,13.09,4.43
Tues.16.APR,hema,623.19,,,296.02,,,10210,,10610,,3.19,-3.98
Tues.16.APR,toas,3107.87,,,2294.29,,,11310,,19680,,57.87,4.29
Tues.16.APR,otaf,138.6,40.7,,213.23,40.53,,2590,,9850,,-12.1,12.7
