date,station,pms_ls,pms_rtt,pms_topp,ago_ls,ago_rtt,ago_topp,pmscl_stock,pms_prod,agocl_stock,ago_prod,pms_var,ago_var,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,odor,294.51,,,488.96,,,2760,,900,,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,shuk1,221.09,20,,52.23,20,,1900,,1820,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,shuk2,288.07,,,22.65,,,2920,,1390,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,agbo,321.51,,,259.51,,,4060,,9060,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,nmai,,,,,,,,,,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,oyib,840.24,,,3029.76,,,8980,,10570,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,danf,441.95,,,266.01,,,3580,,5750,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,TAIF,749.47,,,261.53,,,3970,,4900,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,kata,432.69,,,321.8,,,4130,,10010,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,botw,1071.63,,,1367.34,,,5000,,8880,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,asha,476.89,,,338.61,,,19190,,7900,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,ayik,265.75,,,294.11,,,2530,,3330,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,odum,264,,,161.52,,,5080,,5200,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,ashal1,68.11,,,41.76,,,1460,,2080,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,ashal2,440.79,,,277.3,,,6310,,6240,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,nurse,146.29,,,62.26,,,3680,,3420,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,mayer,,,,,,,,,,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,borts,0,,,0,,,9120,,1840,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,ablek,203.04,,,98.18,,,5060,,3100,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,danch,182.61,,,45.54,,,3170,,2000,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,aman,,,,,,,,,,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,bego,863.35,,,575.6,,,10720,,5450,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,teach,375.66,,,1125.49,,108,8350,,8370,4500,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,asiak,618.33,,72,925.16,,,11850,9000,10280,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,adeis,,,,,,,,,,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,kofo,208.82,,,99.8,,,5490,,8530,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,ason,114.51,,,223.52,,,8230,,4720,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,akiman,375.68,,,177.99,,,3610,,1200,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,asonk,,,,,,,,,,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,ynkrum,,,,,,,,,,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,essien,404.1,,,396.89,,,2930,,5720,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,tred,,,,,,,,,,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,paky,356.51,,,125.65,,,2640,,6250,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,obua,684.27,,,257.9,,,9820,,13900,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,akapo,,,,,,,,,,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,konko,203.26,,,312.66,,,3560,,7570,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,kodi,243.7,,,415.06,,,2250,,20900,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,hema,1318.8,,144,442.71,,,18330,18000,16280,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,toas,2738.48,,144,2536.48,,,23230,18000,43190,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,otaf,0,,,68,,,2330,,10550,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,aboab,250.93,35.98,,112.38,36.62,,2700,,2280,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,asuos,439.81,,,488.37,,,2450,,4940,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,akrop,250.2,,,1223.52,,,12950,,14290,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,tep,382.79,,,1296.21,,,8100,,6670,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,anyi,375.06,,,1645.46,,,2080,,940,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,ahen,87.93,,,174.4,,,7680,,20090,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,abof1,485.62,,,1266.54,,,13290,,13640,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,abof2,155.66,,,227.41,,,7150,,7200,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,nyin,1154.17,,,470.32,,,9020,,25700,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
